                                                                                                                                    Expenditure Profile  2026-2027                                                                                                                            ,,,,,,,,,,,,,,1,
STATEMENT 4A,,,,,,,,,,,,,,,
CENTRALLY SPONSORED SCHEMES,,,,,,,,,,,,,,,
(In ₹ Crores),,,,,,,,,,,,,,,
,,,Actuals 2024-2025,,,Budget Estimates 2025-2026,,,Revised Estimates 2025-2026,,,Budget Estimates 2026-2027,,,
MINISTRY/DEPARTMENT,,,Revenue,Capital,Total,Revenue,Capital,Total,Revenue,Capital,Total,Revenue,Capital,,Total
    ,53,Revised cost for completion of the Polavaram Irrigation Project (PIP) with water storage up to EL 41.15 metres i.e. Minimum Draw Down level (MDDL),5512.4,...,5512.4,5936,...,5936,3017.2,... ,3017.2,3320.39,...,,3320.39
    ,54,Modernization of Command Area Development and Water Management,...,...,...,...,...,...,546.8,3.2,550,545.94,4.06,,550
DemandNo. 63,,,25822.95,...,25822.95,74192,...,74192,23000,...,23000,74862,...,,74862
Department of Drinking Water and Sanitation,,,,,,,,,,,,,,,
    ,55,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,22612.32,...,22612.32,67000,...,67000,17000,... ,17000,67670,...,,67670
    ,56,SBM-Grameen,3210.63,...,3210.63,7192,...,7192,6000,... ,6000,7192,...,,7192
DemandNo. 65,,,1325.6,...,1325.6,1200,...,1200,1000,...,1000,1012,...,,1012
Law and Justice,,,,,,,,,,,,,,,
    ,57,Infrastructure Facilities for Judiciary,1125.6,...,1125.6,1000,...,1000,800,... ,800,812,...,,812
    ,58,Fast Track Special Courts,200,...,200,200,...,200,200,... ,200,200,...,,200
DemandNo. 70,,,938,...,938,1913.98,...,1913.98,1565,...,1565,2000,...,,2000
Ministry of Minority Affairs,,,,,,,,,,,,,,,
    ,59,Pradhan Mantri Jan Vikas Karyakaram,938,...,938,1913.97,...,1913.97,1565,... ,1565,2000,...,,2000
    ,60,Education Scheme for Madrasas and Minorities,...,...,...,0.01,...,0.01,...,... ,...,...,...,,...
DemandNo. 72,,,762.62,1.5,764.12,1062.17,1.5,1063.67,848.5,1.5,850,1141.43,0.88,,1142.31
Ministry of Panchayati Raj,,,,,,,,,,,,,,,
    ,61,Rashtriya Gram Swaraj Abhiyan (RGSA),762.62,1.5,764.12,1062.17,1.5,1063.67,848.5,1.5,850,1141.43,0.88,,1142.31
DemandNo. 87,,,160389.2,...,160389.2,188489,...,188489,156697.11,...,156697.11,228480.01,...,,228480.01
Department of Rural Development,,,,,,,,,,,,,,,
    ,62,National Social Assistance Progamme,9652.01,...,9652.01,9652,...,9652,9197.1,... ,9197.1,9671,...,,9671
    ,63,Viksit Bharat-Guarantee for Rozgar and Ajeevika Mission (Gramin)-VB-G RAM G Scheme,...,...,...,...,...,...,...,... ,...,95692.31,...,,95692.31
    ,64,MGNREGA-Programme Component,85834.4,...,85834.4,86000,...,86000,88000,... ,88000,30000,...,,30000
    ,65,Pradhan Mantri Gram Sadak Yojna,17870.92,...,17870.92,19000,...,19000,11000,... ,11000,19000,...,,19000
    ,66,Deendayal Antyodaya Yojana-National Rural Livelihoods Mission (DAY-NRLM),14705.3,...,14705.3,19005,...,19005,16000,... ,16000,19200,...,,19200
    ,67,Pradhan Mantri Awas Yojna (PMAY)- Rural,32326.57,...,32326.57,54832,...,54832,32500.01,... ,32500.01,54916.7,...,,54916.7
DemandNo. 88,,,2491.37,...,2491.37,2505,...,2505,1500,...,1500,2500,...,,2500
Department of Land Resources,,,,,,,,,,,,,,,
    ,68,Watershed Development Component-Pradhan Mantri Krishi Sinchai Yojna,2491.37,...,2491.37,2505,...,2505,1500,... ,1500,2500,...,,2500
DemandNo. 92,,,124.6,-0.04,124.56,3049.9,...,3049.9,367,...,367,6081.8,58.7,,6140.5
Ministry of Skill Development and Entrepreneurship,,,,,,,,,,,,,,,
    ,69,Skill Acquisition and Knowledge Awareness for Livelihood Promotion (SANKALP)-EAP,108.08,...,108.08,...,...,...,...,... ,...,...,...,,...
    ,70,Skill Strengthening for Industrial Value Enhancements (STRIVE)-EAP,5.07,...,5.07,...,...,...,...,... ,...,...,...,,...
    ,71,Pradhan Mantri Skilling and Employability Transformation through Upgraded ITIs (PM SETU),...,...,...,...,...,...,...,... ,...,6081.8,58.7,,6140.5
    ,72,Strengthening of Infrastructure for Institutional Training,11.44,-0.04,11.4,49.9,...,49.9,11,... ,11,...,...,,...
    ,73,New ITI Upgradation Scheme,0.01,...,0.01,3000,...,3000,356,... ,356,...,...,,...
DemandNo. 93,,,9022.37,...,9022.37,12327.69,...,12327.69,10445.96,...,10445.96,12635.96,...,,12635.96
Department of Social Justice and Empowerment,,,,,,,,,,,,,,,
    ,74,Post Matric Scholarship for SCs,5581.49,...,5581.49,6360,...,6360,6000,... ,6000,6360,...,,6360
    ,75,Pre Matric Scholarship for SCs and Others,461.66,...,461.66,577.96,...,577.96,577.96,... ,577.96,577.96,...,,577.96
    ,76,Pradhan Mantri Anusuchit Jaati Abhyuday Yojana (PM AJAY),736.28,...,736.28,2140,...,2140,1250,... ,1250,2140,...,,2140
    ,77,"Strengthening of Machinery for Enforcement of Protection of Civil Rights Act, 1995 and Prevention of Atrocities Act, 1989",495.19,...,495.19,463,...,463,468,... ,468,550,...,,550
    ,78,"PM Young Achievers Scholarship Award Scheme for Vibrant India (PM YASASVI) for OBCs, EBCs and DNTs",1333.3,...,1333.3,2190,...,2190,1500,... ,1500,2320,...,,2320
